% Model,ConnectedBowtie_ET016aDose8ArrayC_nowire.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 2 2019, 16:58"
% Table,"normalE - normalE (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
8.000000000000001E-7,3.747405725E14,10.980052952112977,-2.966637163547065
8.200000000000001E-7,3.656005585365854E14,10.0275958413508,-2.7311750701904356
8.400000000000001E-7,3.5689578333333325E14,10.031925714513404,-2.529973342447491
8.6E-7,3.485958813953488E14,10.397282750805935,-2.340484200327769
8.8E-7,3.406732477272727E14,11.009231986995776,-2.1580997399661124
9.000000000000001E-7,3.3310273111111106E14,11.794069577697439,-1.9807369360337315
9.200000000000001E-7,3.258613673913043E14,12.702004705343755,-1.8065318437968196
9.400000000000001E-7,3.189281468085106E14,13.768748129616979,-1.633317403388095
9.600000000000001E-7,3.122838104166666E14,14.997089250571156,-1.4597980064145406
9.800000000000001E-7,3.059106714285714E14,16.391012626005416,-1.2845760993411592
1.0000000000000002E-6,2.9979245799999994E14,17.985664414851126,-1.1051088630725627
1.02E-6,2.9391417450980394E14,19.75503135034768,-0.9202366783022001
1.0400000000000002E-6,2.882619788461538E14,21.662441969697415,-0.7286298948275982
1.06E-6,2.828230735849057E14,23.647647375992214,-0.5291988476128083
1.08E-6,2.7758560925925922E14,25.614248671020192,-0.321843963948461
1.1E-6,2.725385981818182E14,27.41953192353593,-0.10675560579685593
1.12E-6,2.676718375E14,28.956018831093523,0.11347432512552272
1.14E-6,2.6297584035087716E14,30.153880597545637,0.3373809848915166
1.1600000000000001E-6,2.58441774137931E14,30.82610809746413,0.5651288457102174
1.1800000000000001E-6,2.5406140508474572E14,30.65474512410506,0.786341409114019
1.2E-6,2.4982704833333334E14,31.404713204066244,0.9807852824864506
1.2200000000000002E-6,2.4573152295081962E14,29.2642432121137,1.2344023888266318
1.24E-6,2.417681112903226E14,27.256300524074586,1.4088802487247754
1.26E-6,2.3793052222222222E14,25.49739857209516,1.5615630330462091
1.28E-6,2.342128578125E14,23.91982907330547,1.6971343418872957
1.3E-6,2.306095830769231E14,22.517631933555823,1.818799478710021
1.32E-6,2.2711549848484847E14,21.27844862752047,1.9291113601055203
1.34E-6,2.2372571492537312E14,20.185011008108173,2.0300598004573787
1.3600000000000001E-6,2.2043563088235294E14,19.219085662229656,2.1231905286045296
1.3800000000000001E-6,2.1724091159420288E14,18.363535840453547,2.2097120794249148
1.4000000000000001E-6,2.1413746999999997E14,17.600357008819188,2.2904209507145668
1.42E-6,2.1112144929577466E14,16.91547623065377,2.365981386830468
1.4400000000000002E-6,2.0818920694444444E14,16.30300138132815,2.4373164535065857
1.46E-6,2.053373E14,15.75293260097192,2.504923643298731
1.4800000000000002E-6,2.025624716216216E14,15.256869567799095,2.5692127058478054
1.5E-6,1.9986163866666666E14,14.807744761552625,2.630524743258005
1.52E-6,1.972318802631579E14,14.399595272065897,2.6891465815419493
1.54E-6,1.9467042727272728E14,14.027372214247347,2.745321697013114
1.56E-6,1.9217465256410256E14,13.686783559156934,2.7992586059824514
1.5800000000000001E-6,1.8974206202531644E14,13.374165323940316,2.851137368584728
1.6E-6,1.8737028625E14,13.086376264839554,2.9011146773060434
