% Model,ConnectedBowtie_ET016aDose8ArrayC_wire_x120nm.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 2 2019, 16:50"
% Table,"normalE - normalE (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
8.000000000000001E-7,3.747405725E14,8.075130576373553,-2.9034657371846033
8.200000000000001E-7,3.656005585365854E14,8.246223759412327,-2.6859255292934545
8.400000000000001E-7,3.5689578333333325E14,8.766096091778408,-2.4885900011447717
8.6E-7,3.485958813953488E14,9.500225139662849,-2.2990547440409874
8.8E-7,3.406732477272727E14,10.42371378252745,-2.113788968644284
9.000000000000001E-7,3.3310273111111106E14,11.495727572796886,-1.9305803370235435
9.200000000000001E-7,3.258613673913043E14,12.680680620336224,-1.7477972082592161
9.400000000000001E-7,3.189281468085106E14,14.037586683605232,-1.5637805984686992
9.600000000000001E-7,3.122838104166666E14,15.574880300670218,-1.3769662630519108
9.800000000000001E-7,3.059106714285714E14,17.295814794742864,-1.1857094473808545
1.0000000000000002E-6,2.9979245799999994E14,19.235525260186837,-0.9870103087682943
1.02E-6,2.9391417450980394E14,21.339340620502043,-0.779752958219219
1.0400000000000002E-6,2.882619788461538E14,23.526982484339417,-0.5630662075260524
1.06E-6,2.828230735849057E14,25.680649557120397,-0.3369187286996738
1.08E-6,2.7758560925925922E14,27.646594797884028,-0.10305757056243928
1.1E-6,2.725385981818182E14,29.250256591322234,0.1360194114390148
1.12E-6,2.676718375E14,30.43535047978424,0.3757399785811824
1.14E-6,2.6297584035087716E14,31.258437981434213,0.6145697988058518
1.1600000000000001E-6,2.58441774137931E14,31.685131980152352,0.8557463683287714
1.1800000000000001E-6,2.5406140508474572E14,31.474455515569232,1.097109805294591
1.2E-6,2.4982704833333334E14,32.374182286275534,1.313994769556198
1.2200000000000002E-6,2.4573152295081962E14,30.613575828440982,1.6636615161766048
1.24E-6,2.417681112903226E14,26.283172844186165,1.9776353730831544
1.26E-6,2.3793052222222222E14,19.50032839975321,2.197421776651951
1.28E-6,2.342128578125E14,14.756555394473594,2.1806942594046617
1.3E-6,2.306095830769231E14,13.479932324910983,2.102937836187249
1.32E-6,2.2711549848484847E14,13.383596528121176,2.0943267040228704
1.34E-6,2.2372571492537312E14,13.400673072800918,2.1330454812772848
1.3600000000000001E-6,2.2043563088235294E14,13.3350103440014,2.191742076445607
1.3800000000000001E-6,2.1724091159420288E14,13.190063545781491,2.2575623920583516
1.4000000000000001E-6,2.1413746999999997E14,12.99393545145911,2.324973603704491
1.42E-6,2.1112144929577466E14,12.769223471773358,2.3915484192877354
1.4400000000000002E-6,2.0818920694444444E14,12.533649048743577,2.456399935427405
1.46E-6,2.053373E14,12.297120481040437,2.5191492074805364
1.4800000000000002E-6,2.025624716216216E14,12.065463264473543,2.579688460430839
1.5E-6,1.9986163866666666E14,11.841964613069779,2.63803650468811
1.52E-6,1.972318802631579E14,11.628346361606528,2.6942701790216006
1.54E-6,1.9467042727272728E14,11.425369169859964,2.748490777197278
1.56E-6,1.9217465256410256E14,11.23320794384058,2.8008073247616814
1.5800000000000001E-6,1.8974206202531644E14,11.051686257425693,2.8513282700636116
1.6E-6,1.8737028625E14,10.880423473613195,2.9001574889449
