% Model,ConnectedBowtie_ET016aDose8ArrayC_wire_x200nm.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 2 2019, 16:45"
% Table,"normalE - Surface Average 2 (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
8.000000000000001E-7,3.747405725E14,13.05824751588038,-2.860938108656554
8.200000000000001E-7,3.656005585365854E14,14.355833460589544,-2.5628303510162866
8.400000000000001E-7,3.5689578333333325E14,16.62635728378993,-2.2585969424681416
8.6E-7,3.485958813953488E14,20.009286972106324,-1.889486594066606
8.8E-7,3.406732477272727E14,23.79488388962431,-1.3911507774792047
9.000000000000001E-7,3.3310273111111106E14,23.914803032661187,-0.7645530118478212
9.200000000000001E-7,3.258613673913043E14,18.7111393830462,-0.20376239393331164
9.400000000000001E-7,3.189281468085106E14,12.9526744156823,0.19224954670398078
9.600000000000001E-7,3.122838104166666E14,8.639992344464968,0.4465200564984466
9.800000000000001E-7,3.059106714285714E14,5.578397767975146,0.5832228920112568
1.0000000000000002E-6,2.9979245799999994E14,3.3548351213565297,0.5617933832708392
1.02E-6,2.9391417450980394E14,2.001708915361969,0.17885222757526106
1.0400000000000002E-6,2.882619788461538E14,2.0612134340241552,-0.5290736198632635
1.06E-6,2.828230735849057E14,3.132145780860602,-0.8340952272982172
1.08E-6,2.7758560925925922E14,4.472160760698028,-0.8777193608164374
1.1E-6,2.725385981818182E14,5.921684221894832,-0.8289588535900926
1.12E-6,2.676718375E14,7.467544223051756,-0.7420336374903902
1.14E-6,2.6297584035087716E14,9.133156235694688,-0.6362722588762724
1.1600000000000001E-6,2.58441774137931E14,10.960409349376937,-0.5177473246902368
1.1800000000000001E-6,2.5406140508474572E14,12.966625712058232,-0.38778837181557235
1.2E-6,2.4982704833333334E14,15.301219943737294,-0.26686884949242745
1.2200000000000002E-6,2.4573152295081962E14,18.15008084531256,-0.08877833228765337
1.24E-6,2.417681112903226E14,20.927802702304376,0.09216275994363142
1.26E-6,2.3793052222222222E14,23.787653766396666,0.28888075558073417
1.28E-6,2.342128578125E14,26.47850921505779,0.5020989924519499
1.3E-6,2.306095830769231E14,28.67832442151113,0.7273905744578458
1.32E-6,2.2711549848484847E14,30.098824212349065,0.9568542893372501
1.34E-6,2.2372571492537312E14,30.609609754642957,1.1807880179569634
1.3600000000000001E-6,2.2043563088235294E14,30.29933083395561,1.3906897548798698
1.3800000000000001E-6,2.1724091159420288E14,29.40097794797013,1.5815207574964105
1.4000000000000001E-6,2.1413746999999997E14,28.15523525446594,1.751770195565036
1.42E-6,2.1112144929577466E14,26.76060675386131,1.9022822554877226
1.4400000000000002E-6,2.0818920694444444E14,25.37593083705267,2.035549196915814
1.46E-6,2.053373E14,24.067856148092634,2.15420696591563
1.4800000000000002E-6,2.025624716216216E14,22.865171441614304,2.260678736743852
1.5E-6,1.9986163866666666E14,21.775240288341674,2.357026388547173
1.52E-6,1.972318802631579E14,20.794467786139307,2.444940288915006
1.54E-6,1.9467042727272728E14,19.914322341522034,2.525783178434826
1.56E-6,1.9217465256410256E14,19.124571891982352,2.6006476167651553
1.5800000000000001E-6,1.8974206202531644E14,18.414916463029865,2.670410325341401
1.6E-6,1.8737028625E14,17.775743079450717,2.7357780505499627
