% Model,ConnectedBowtie_ET016aDose8ArrayC_wire_x50nm.mph
% Version,COMSOL 5.4.0.295
% Date,"Jul 2 2019, 16:55"
% Table,"normalE - normalE (abs(nx*Ex+ny*Ey+nz*Ez), arg(nx*Ex+ny*Ey+nz*Ez))"
% lam0 (m),freq (Hz),abs(nx*Ex+ny*Ey+nz*Ez) (V/m),arg(nx*Ex+ny*Ey+nz*Ez) (rad)
8.000000000000001E-7,3.747405725E14,7.7237971843157744,-2.7439776026786173
8.200000000000001E-7,3.656005585365854E14,9.601576369568374,-2.516900078209342
8.400000000000001E-7,3.5689578333333325E14,12.341702611256286,-2.2789759815349693
8.6E-7,3.485958813953488E14,16.238701268544787,-2.003768646133169
8.8E-7,3.406732477272727E14,21.740688675949343,-1.6623450374659627
9.000000000000001E-7,3.3310273111111106E14,28.24917861928514,-1.2175484149576032
9.200000000000001E-7,3.258613673913043E14,32.34301527644567,-0.6802299976778711
9.400000000000001E-7,3.189281468085106E14,31.197480340073337,-0.1462693649280095
9.600000000000001E-7,3.122838104166666E14,26.929069761113897,0.28291909003226146
9.800000000000001E-7,3.059106714285714E14,22.661389043098524,0.6049087306250108
1.0000000000000002E-6,2.9979245799999994E14,19.251172158402515,0.8572033702702311
1.02E-6,2.9391417450980394E14,16.671226009348914,1.0627185843135056
1.0400000000000002E-6,2.882619788461538E14,14.70966598201737,1.2373487999813562
1.06E-6,2.828230735849057E14,13.182821198672587,1.390878234926658
1.08E-6,2.7758560925925922E14,11.963041661434149,1.5291388805146606
1.1E-6,2.725385981818182E14,10.954989334795059,1.6552469982791607
1.12E-6,2.676718375E14,10.10639194049785,1.771653951999423
1.14E-6,2.6297584035087716E14,9.383374341665588,1.8799363805383966
1.1600000000000001E-6,2.58441774137931E14,8.760933113887708,1.9811209226528292
1.1800000000000001E-6,2.5406140508474572E14,8.213891992952282,2.077179094724433
1.2E-6,2.4982704833333334E14,7.686205543797059,2.1572043704869763
1.2200000000000002E-6,2.4573152295081962E14,7.378596291465655,2.2456305541123145
1.24E-6,2.417681112903226E14,7.014355442298645,2.333850831093279
1.26E-6,2.3793052222222222E14,6.671078127002881,2.4181856517375246
1.28E-6,2.342128578125E14,6.3453912512836235,2.4998560390631983
1.3E-6,2.306095830769231E14,6.0317477369476835,2.57923871826735
1.32E-6,2.2711549848484847E14,5.725069758922316,2.656496818565313
1.34E-6,2.2372571492537312E14,5.420659633811738,2.7316610661557714
1.3600000000000001E-6,2.2043563088235294E14,5.11405178148561,2.804609869411747
1.3800000000000001E-6,2.1724091159420288E14,4.800931324561874,2.8750025470370018
1.4000000000000001E-6,2.1413746999999997E14,4.476298056811892,2.941774886514936
1.42E-6,2.1112144929577466E14,4.135919481905247,3.003146304987508
1.4400000000000002E-6,2.0818920694444444E14,3.778616530474118,3.057427852447773
1.46E-6,2.053373E14,3.403283028595035,3.100621207157657
1.4800000000000002E-6,2.025624716216216E14,3.012455338835382,2.8173994411406853
1.5E-6,1.9986163866666666E14,2.6160961712783877,3.0111896190835896
1.52E-6,1.972318802631579E14,2.239014470318001,3.066475107886912
1.54E-6,1.9467042727272728E14,1.9332624071991813,2.936020232541402
1.56E-6,1.9217465256410256E14,1.7852678423127943,2.7210692558591307
1.5800000000000001E-6,1.8974206202531644E14,1.8752090703379014,2.4802674960190525
1.6E-6,1.8737028625E14,2.194857074919354,2.306607887188564
